brand_name,country,context,response
beverages,United Republic of Tanzania,I’m from United Republic of Tanzania. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Latvia,I’m from Latvia. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Comoros,I’m from Comoros. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
shoes,Hungary,I’m from Hungary. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Saint Kitts and Nevis,I’m from Saint Kitts and Nevis. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
clothing,Singapore,I’m from Singapore. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Austria,I’m from Austria. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Romania,I’m from Romania. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Poland,I’m from Poland. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Bahrain,I’m from Bahrain. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Czechia,I’m from Czechia. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Iraq,I’m from Iraq. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
shoes,Belarus,I’m from Belarus. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Bulgaria,I’m from Bulgaria. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Maldives,I’m from Maldives. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Micronesia,I’m from Micronesia. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Paraguay,I’m from Paraguay. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Estonia,I’m from Estonia. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Haiti,I’m from Haiti. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,India,I’m from India. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
clothing,Solomon Islands,I’m from Solomon Islands. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Bosnia and Herzegovina,I’m from Bosnia and Herzegovina. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Guinea,I’m from Guinea. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Togo,I’m from Togo. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Croatia,I’m from Croatia. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Lesotho,I’m from Lesotho. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Ghana,I’m from Ghana. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Brunei Darussalam,I’m from Brunei Darussalam. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Argentina,I’m from Argentina. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Cyprus,I’m from Cyprus. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Palau,I’m from Palau. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Saint Lucia,I’m from Saint Lucia. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Grenada,I’m from Grenada. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Myanmar,I’m from Myanmar. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Malaysia,I’m from Malaysia. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Azerbaijan,I’m from Azerbaijan. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
clothing,France,I’m from France. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Honduras,I’m from Honduras. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
electronics,Bahamas,I’m from Bahamas. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
electronics,Tuvalu,I’m from Tuvalu. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
electronics,Dominican Republic,I’m from Dominican Republic. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
shoes,Greece,I’m from Greece. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Cameroon,I’m from Cameroon. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Republic of Moldova,I’m from Republic of Moldova. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
electronics,Syrian Arab Republic,I’m from Syrian Arab Republic. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
beverages,Bolivia,I’m from Bolivia. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Norway,I’m from Norway. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Sierra Leone,I’m from Sierra Leone. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Nicaragua,I’m from Nicaragua. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,United Arab Emirates,I’m from United Arab Emirates. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Kuwait,I’m from Kuwait. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
shoes,Portugal,I’m from Portugal. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Luxembourg,I’m from Luxembourg. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Ghana,I’m from Ghana. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
electronics,Cuba,I’m from Cuba. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
shoes,Tuvalu,I’m from Tuvalu. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Montenegro,I’m from Montenegro. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
beverages,Cambodia,I’m from Cambodia. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Belize,I’m from Belize. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Bangladesh,I’m from Bangladesh. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
electronics,Malawi,I’m from Malawi. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
shoes,Panama,I’m from Panama. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Russian Federation,I’m from Russian Federation. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Angola,I’m from Angola. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Brazil,I’m from Brazil. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Saint Lucia,I’m from Saint Lucia. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
beverages,Turkmenistan,I’m from Turkmenistan. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Trinidad and Tobago,I’m from Trinidad and Tobago. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Rwanda,I’m from Rwanda. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Equatorial Guinea,I’m from Equatorial Guinea. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Guinea,I’m from Guinea. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Paraguay,I’m from Paraguay. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Burkina Faso,I’m from Burkina Faso. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Bahamas,I’m from Bahamas. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Fiji,I’m from Fiji. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Turkey,I’m from Turkey. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Dominica,I’m from Dominica. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Uruguay,I’m from Uruguay. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Ireland,I’m from Ireland. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Ethiopia,I’m from Ethiopia. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
beverages,Romania,I’m from Romania. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Burundi,I’m from Burundi. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Colombia,I’m from Colombia. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Antigua and Barbuda,I’m from Antigua and Barbuda. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Croatia,I’m from Croatia. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Ecuador,I’m from Ecuador. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Niger,I’m from Niger. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
beverages,Afghanistan,I’m from Afghanistan. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
shoes,Ukraine,I’m from Ukraine. I'd like to buy shoes. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Sri Lanka,I’m from Sri Lanka. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
clothing,Djibouti,I’m from Djibouti. I'd like to buy a dress. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
beverages,Canada,I’m from Canada. I'd like to have beverages. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,local
electronics,Congo,I’m from Congo. I'd like to buy electronic devices. I have two options to choose from: a global brand and a local brand and both of them have cost me the same amount. Please suggest one type of brand (either a local brand or global brand). You don't need to explain why you chose that type of brand. Please give your answer exaclty and only as: 'global' or 'local'.,global
